# lon1 lat1 z1 lon2 lat2 z2 lon3 lat3 z3 slip_m rake_deg time_s
172.097883 -42.711827 -46396.520000 172.097161 -42.635221 -50000.000000 171.995911 -42.684863 -50000.000000 0.000000 0.000000 0.000000
172.301516 -42.619988 -45958.860000 172.300912 -42.537664 -49923.980000 172.199630 -42.587262 -50000.000000 0.000000 0.000000 0.000000
172.509201 -42.509530 -45741.520000 172.492342 -42.428287 -50000.000000 172.402154 -42.488173 -49532.210000 0.000000 0.000000 0.000000
172.690660 -42.384459 -45803.090000 172.667670 -42.304969 -49986.050000 172.582973 -42.368888 -50000.000000 0.000000 0.000000 0.000000
172.949090 -42.185161 -45532.720000 172.914704 -42.108685 -49984.460000 172.839572 -42.178990 -49748.770000 0.000000 0.000000 0.000000
174.021630 -42.739965 -15475.370000 173.905804 -42.713455 -15923.420000 173.935296 -42.803650 -15691.810000 0.000000 0.000000 0.000000
173.176138 -41.975320 -45643.190000 173.140630 -41.899252 -50000.000000 173.068420 -41.970904 -50000.000000 0.000000 0.000000 0.000000
173.551637 -41.634271 -45456.040000 173.527487 -41.556922 -50000.000000 173.446804 -41.622774 -50000.000000 0.000000 0.000000 0.000000
173.473143 -41.700184 -45454.680000 173.551637 -41.634271 -45456.040000 173.446804 -41.622774 -50000.000000 0.000000 0.000000 0.000000
173.323875 -41.836888 -45488.150000 173.292597 -41.760070 -50000.000000 173.217034 -41.830033 -50000.000000 0.000000 0.000000 0.000000
173.634043 -41.563941 -45577.380000 173.602386 -41.486963 -49968.230000 173.527487 -41.556922 -50000.000000 0.000000 0.000000 0.000000
173.869410 -41.365167 -45604.300000 173.842553 -41.287046 -49964.120000 173.763817 -41.354477 -50000.000000 0.000000 0.000000 0.000000
174.027575 -41.217139 -45598.230000 173.981894 -41.142656 -49903.510000 173.920038 -41.219283 -49580.030000 0.000000 0.000000 0.000000
174.154232 -41.063059 -45920.790000 174.105225 -40.989260 -49851.600000 174.046220 -41.067153 -50000.000000 0.000000 0.000000 0.000000
174.215060 -40.986740 -46079.760000 174.166771 -40.912391 -49936.140000 174.105225 -40.989260 -49851.600000 0.000000 0.000000 0.000000
174.527743 -40.618959 -46967.850000 174.491140 -40.538532 -50000.000000 174.416997 -40.607840 -50000.000000 0.000000 0.000000 0.000000
174.337682 -40.833660 -46018.650000 174.289382 -40.758640 -49730.890000 174.228118 -40.835563 -49804.380000 0.000000 0.000000 0.000000
174.400342 -40.757077 -46261.700000 174.350519 -40.681668 -49760.610000 174.289382 -40.758640 -49730.890000 0.000000 0.000000 0.000000
174.275310 -40.910350 -45963.010000 174.228118 -40.835563 -49804.380000 174.166771 -40.912391 -49936.140000 0.000000 0.000000 0.000000
174.601493 -40.555279 -47104.340000 174.570873 -40.472543 -49928.270000 174.491140 -40.538532 -50000.000000 0.000000 0.000000 0.000000
174.764306 -40.440149 -47480.450000 174.747263 -40.354269 -50000.000000 174.656901 -40.411552 -50000.000000 0.000000 0.000000 0.000000
175.319231 -40.096908 -46619.300000 175.289527 -40.015576 -50000.000000 175.210661 -40.081825 -49911.680000 0.000000 0.000000 0.000000
175.742709 -39.607414 -50000.000000 175.846178 -39.615499 -45647.870000 175.816479 -39.538247 -50000.000000 0.000000 0.000000 0.000000
175.706044 -39.755715 -45957.540000 175.671741 -39.678326 -50000.000000 175.600478 -39.748905 -50000.000000 0.000000 0.000000 0.000000
176.068181 -39.409675 -45340.200000 176.041925 -39.332975 -50000.000000 175.966319 -39.401014 -50000.000000 0.000000 0.000000 0.000000
176.219464 -39.271715 -45179.010000 176.191468 -39.196178 -50000.000000 176.118668 -39.265894 -50000.000000 0.000000 0.000000 0.000000
176.366342 -39.137690 -44962.050000 176.343678 -39.061568 -49861.550000 176.267441 -39.128851 -50000.000000 0.000000 0.000000 0.000000
176.914125 -38.667740 -44473.300000 176.883527 -38.597325 -50000.000000 176.815716 -38.669159 -49519.660000 0.000000 0.000000 0.000000
177.116458 -38.448799 -44656.210000 177.081169 -38.378474 -50000.000000 177.020829 -38.454701 -50000.000000 0.000000 0.000000 0.000000
177.314271 -38.236682 -44835.840000 177.285980 -38.163713 -50000.000000 177.217374 -38.235023 -50000.000000 0.000000 0.000000 0.000000
177.596982 -37.959285 -44741.230000 177.569138 -37.884497 -49328.440000 177.498916 -37.954384 -49822.600000 0.000000 0.000000 0.000000
177.051122 -38.526144 -44639.880000 177.020829 -38.454701 -50000.000000 176.955625 -38.528091 -50000.000000 0.000000 0.000000 0.000000
177.456374 -38.099170 -45011.820000 177.428899 -38.024909 -50000.000000 177.358966 -38.095401 -50000.000000 0.000000 0.000000 0.000000
177.666524 -37.875598 -44731.540000 177.622669 -37.805709 -49953.610000 177.569138 -37.884497 -49328.440000 0.000000 0.000000 0.000000
178.000478 -37.420113 -45062.540000 177.969838 -37.346289 -50000.000000 177.903154 -37.418031 -50000.000000 0.000000 0.000000 0.000000
177.934568 -37.490310 -44937.950000 178.000478 -37.420113 -45062.540000 177.903154 -37.418031 -50000.000000 0.000000 0.000000 0.000000
177.773607 -37.718366 -44783.500000 177.729719 -37.647617 -49526.320000 177.676258 -37.726653 -49748.150000 0.000000 0.000000 0.000000
177.827139 -37.638826 -44624.630000 177.782979 -37.568702 -49497.390000 177.729719 -37.647617 -49526.320000 0.000000 0.000000 0.000000
179.420647 -37.893432 -5940.738000 179.308437 -37.883100 -7072.619000 179.359021 -37.963756 -5737.224000 0.000000 0.000000 0.000000
178.434689 -36.843644 -50000.000000 178.534261 -36.844753 -45578.330000 178.498028 -36.770176 -50000.000000 0.000000 0.000000 0.000000
178.421713 -36.994548 -45710.400000 178.379376 -36.921419 -50000.000000 178.321399 -36.997913 -50000.000000 0.000000 0.000000 0.000000
178.597896 -36.772544 -45604.490000 178.562239 -36.697078 -49937.170000 178.498028 -36.770176 -50000.000000 0.000000 0.000000 0.000000
179.070489 -36.269372 -45291.710000 179.030442 -36.196999 -49939.540000 178.972165 -36.273126 -49811.060000 0.000000 0.000000 0.000000
179.295216 -35.950930 -44900.330000 179.246227 -35.885158 -50000.000000 179.199996 -35.966427 -49552.360000 0.000000 0.000000 0.000000
179.341245 -35.871953 -45269.270000 179.292518 -35.803919 -50000.000000 179.246227 -35.885158 -50000.000000 0.000000 0.000000 0.000000
-179.246466 -36.311930 -6362.077000 -179.357310 -36.310974 -6677.133000 -179.301363 -36.389741 -6238.962000 0.000000 0.000000 0.000000
-179.156257 -36.149030 -6639.599000 -179.264579 -36.163529 -6942.312000 -179.194115 -36.233179 -6472.657000 0.000000 0.000000 0.000000
179.526376 -35.545528 -44930.120000 179.477354 -35.479115 -50000.000000 179.433749 -35.561388 -50000.000000 0.000000 0.000000 0.000000
179.702671 -35.219812 -44735.430000 179.656323 -35.152450 -49744.230000 179.611019 -35.233971 -49959.090000 0.000000 0.000000 0.000000
179.613822 -35.381584 -44880.200000 179.565691 -35.315365 -49941.190000 179.522003 -35.397539 -50000.000000 0.000000 0.000000 0.000000
179.701511 -35.071013 -49855.210000 179.792665 -35.057526 -44597.340000 179.746646 -34.989514 -49552.640000 0.000000 0.000000 0.000000
179.837729 -34.971927 -44498.700000 179.790054 -34.907489 -49841.890000 179.746646 -34.989514 -49552.640000 0.000000 0.000000 0.000000
179.922557 -34.806081 -44616.920000 179.873687 -34.742202 -49970.290000 179.831917 -34.824838 -49676.370000 0.000000 0.000000 0.000000
-179.993964 -34.642821 -44564.010000 179.957070 -34.576849 -49586.560000 179.915396 -34.659569 -49694.030000 0.000000 0.000000 0.000000
-179.910576 -34.476310 -44203.220000 -179.959879 -34.411560 -49387.750000 179.998626 -34.494216 -49237.860000 0.000000 0.000000 0.000000
-179.827457 -34.310978 -44082.880000 -179.877100 -34.246244 -49229.070000 -179.918465 -34.328909 -49051.850000 0.000000 0.000000 0.000000
-179.744801 -34.145388 -44120.740000 -179.794591 -34.080875 -49258.140000 -179.835806 -34.163548 -49022.180000 0.000000 0.000000 0.000000
-179.662560 -33.979916 -44160.330000 -179.712364 -33.915519 -49306.740000 -179.753434 -33.998180 -49051.590000 0.000000 0.000000 0.000000
-179.580712 -33.814393 -44265.680000 -179.630407 -33.750156 -49444.290000 -179.671344 -33.832807 -49161.830000 0.000000 0.000000 0.000000
-178.235853 -33.959351 -8731.092000 -178.338901 -33.987187 -9075.706000 -178.260262 -34.046453 -8636.673000 0.000000 0.000000 0.000000
-179.472314 -33.417730 -49931.500000 -179.383046 -33.399064 -44931.390000 -179.433130 -33.334649 -50000.000000 0.000000 0.000000 0.000000
-179.458370 -33.565100 -44648.510000 -179.509012 -33.501733 -49862.620000 -179.548719 -33.584772 -49494.680000 0.000000 0.000000 0.000000
-179.395249 -33.251076 -50000.000000 -179.305855 -33.233205 -45018.840000 -179.355685 -33.168239 -50000.000000 0.000000 0.000000 0.000000
-179.266525 -33.149031 -45002.830000 -179.317717 -33.084704 -50000.000000 -179.355685 -33.168239 -50000.000000 0.000000 0.000000 0.000000
-177.952358 -33.482407 -8657.438000 -178.058568 -33.488411 -9138.158000 -177.998395 -33.562760 -8687.431000 0.000000 0.000000 0.000000
-179.152986 -32.897915 -45068.500000 -179.205223 -32.834157 -50000.000000 -179.241446 -32.917993 -50000.000000 0.000000 0.000000 0.000000
-179.079022 -32.728867 -45045.900000 -179.133078 -32.666133 -50000.000000 -179.166868 -32.750767 -50000.000000 0.000000 0.000000 0.000000
-179.007269 -32.559172 -44997.120000 -179.062947 -32.497548 -50000.000000 -179.094308 -32.582942 -50000.000000 0.000000 0.000000 0.000000
-178.937875 -32.390460 -44860.350000 -178.992463 -32.329163 -50000.000000 -179.023913 -32.414504 -50000.000000 0.000000 0.000000 0.000000
-178.905984 -32.306200 -44848.510000 -178.959611 -32.244270 -50000.000000 -178.992463 -32.329163 -50000.000000 0.000000 0.000000 0.000000
-178.839209 -32.138273 -44891.510000 -178.890302 -32.075675 -50000.000000 -178.925192 -32.159958 -50000.000000 0.000000 0.000000 0.000000
-178.767102 -31.970924 -44813.250000 -178.818315 -31.908020 -50000.000000 -178.853175 -31.992207 -50000.000000 0.000000 0.000000 0.000000
-178.732615 -31.889871 -44610.840000 -178.778412 -31.825479 -50000.000000 -178.818315 -31.908020 -50000.000000 0.000000 0.000000 0.000000
-178.651575 -31.726838 -44132.220000 -178.695296 -31.661684 -49506.550000 -178.736934 -31.743585 -49559.890000 0.000000 0.000000 0.000000
-178.568685 -31.562712 -43823.610000 -178.612228 -31.497916 -49240.390000 -178.653708 -31.579772 -49235.680000 0.000000 0.000000 0.000000
-178.239444 -30.909722 -44473.360000 -178.279215 -30.844147 -50000.000000 -178.323330 -30.924736 -50000.000000 0.000000 0.000000 0.000000
-178.321432 -31.070446 -44342.870000 -178.364466 -31.006689 -49969.350000 -178.405552 -31.088446 -49771.400000 0.000000 0.000000 0.000000
-178.239554 -30.761766 -50000.000000 -178.155942 -30.746554 -44449.310000 -178.195566 -30.681078 -50000.000000 0.000000 0.000000 0.000000
-178.112833 -30.660937 -44521.580000 -178.158213 -30.597924 -50000.000000 -178.195566 -30.681078 -50000.000000 0.000000 0.000000 0.000000
-178.032913 -30.498059 -44421.070000 -178.078051 -30.433676 -49789.160000 -178.115382 -30.516743 -50000.000000 0.000000 0.000000 0.000000
-177.917354 -30.244464 -44208.440000 -177.965846 -30.184686 -49955.800000 -177.999856 -30.268791 -49461.370000 0.000000 0.000000 0.000000
-177.796344 -29.764104 -49893.030000 -177.712715 -29.743389 -44625.320000 -177.762538 -29.679918 -49708.910000 0.000000 0.000000 0.000000
